Item Name,Description,Price,Type,Cuisine,Restaurant Name,Location,Rating,Veg/Non-Veg,Discount
Chicken Biryani,Spicy and flavorful.,199,Main Course,Indian,Restaurant F,Mumbai,3.4,Non-Veg,18% off
Samosa,Crispy fried pastry filled with spiced potatoes.,300,Snack,Indian,Restaurant I,Chennai,3.8,Non-Veg,12% off
Chocolate Shake,Rich and creamy chocolate drink.,490,Beverage,American,Restaurant H,Hyderabad,3.3,Non-Veg,16% off
Churros,Fried dough pastry dusted with sugar.,358,Dessert,Mexican,Restaurant F,Delhi,3.6,Non-Veg,13% off
Lassi,Sweet yogurt-based drink.,325,Beverage,Indian,Restaurant B,Bangalore,3.3,Non-Veg,11% off
Tandoori Chicken,Grilled chicken marinated with Indian spices.,269,Snack,Indian,Restaurant E,Chennai,3.3,Non-Veg,18% off
Churros,Fried dough pastry dusted with sugar.,109,Dessert,Mexican,Restaurant G,Hyderabad,3.9,Non-Veg,7% off
Butter Naan,Soft bread with butter.,323,Main Course,Indian,Restaurant E,Hyderabad,3.9,Non-Veg,7% off
Paneer Tikka,Grilled paneer with Indian spices.,144,Snack,Indian,Restaurant C,Mumbai,3.8,Veg,9% off
Chocolate Shake,Rich and creamy chocolate drink.,340,Beverage,American,Restaurant J,Mumbai,3.9,Non-Veg,10% off
Masala Dosa,South Indian rice pancake with masala.,224,Snack,Indian,Restaurant J,Chennai,3.6,Non-Veg,25% off
Churros,Fried dough pastry dusted with sugar.,387,Dessert,Mexican,Restaurant D,Mumbai,3.9,Non-Veg,25% off
Samosa,Crispy fried pastry filled with spiced potatoes.,136,Snack,Indian,Restaurant I,Bangalore,3.8,Non-Veg,5% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",325,Main Course,Mexican,Restaurant E,Bangalore,3.7,Non-Veg,28% off
Paneer Tikka,Grilled paneer with Indian spices.,416,Snack,Indian,Restaurant A,Mumbai,3.3,Veg,10% off
Enchiladas,Corn tortillas rolled with filling and sauce.,187,Main Course,Mexican,Restaurant J,Hyderabad,3.3,Non-Veg,5% off
Fajitas,Grilled meat and vegetables served on tortillas.,395,Main Course,Mexican,Restaurant J,Hyderabad,3.8,Non-Veg,22% off
Tandoori Chicken,Grilled chicken marinated with Indian spices.,363,Snack,Indian,Restaurant J,Mumbai,3.3,Non-Veg,25% off
Dal Tadka,Yellow lentils tempered with spices.,475,Main Course,Indian,Restaurant A,Bangalore,3.6,Non-Veg,5% off
Lassi,Sweet yogurt-based drink.,222,Beverage,Indian,Restaurant D,Bangalore,3.6,Non-Veg,25% off
Margarita,Refreshing lime and tequila cocktail.,338,Beverage,Mexican,Restaurant I,Mumbai,3.6,Non-Veg,16% off
Apple Pie,Classic American dessert with spiced apples.,300,Dessert,American,Restaurant D,Mumbai,3.9,Non-Veg,28% off
Butter Naan,Soft bread with butter.,206,Main Course,Indian,Restaurant D,Chennai,3.3,Non-Veg,16% off
Veg Biryani,Made with aromatic basmati rice.,183,Main Course,Indian,Restaurant E,Mumbai,4.8,Veg,8% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,120,Beverage,American,Restaurant C,Chennai,3.9,Non-Veg,17% off
Quesadilla,Grilled tortilla with melted cheese filling.,132,Snack,Mexican,Restaurant F,Delhi,3.3,Non-Veg,23% off
Butter Naan,Soft bread with butter.,410,Main Course,Indian,Restaurant B,Bangalore,3.9,Non-Veg,18% off
Tandoori Chicken,Grilled chicken marinated with Indian spices.,365,Snack,Indian,Restaurant I,Mumbai,3.6,Non-Veg,5% off
Chicken Burger,Crispy chicken patty in a bun.,196,Snack,American,Restaurant F,Delhi,3.8,Non-Veg,29% off
Cheeseburger,Juicy beef patty with melted cheese.,335,Main Course,American,Restaurant A,Chennai,3.3,Non-Veg,26% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",115,Main Course,Mexican,Restaurant B,Hyderabad,3.8,Non-Veg,20% off
Tacos,Corn tortilla filled with meat and veggies.,321,Snack,Mexican,Restaurant G,Bangalore,3.7,Non-Veg,20% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,488,Beverage,American,Restaurant G,Delhi,3.6,Non-Veg,15% off
Tacos,Corn tortilla filled with meat and veggies.,427,Snack,Mexican,Restaurant E,Delhi,3.9,Non-Veg,18% off
Cheeseburger,Juicy beef patty with melted cheese.,328,Main Course,American,Restaurant C,Chennai,3.8,Non-Veg,24% off
Butter Naan,Soft bread with butter.,243,Main Course,Indian,Restaurant A,Hyderabad,3.3,Non-Veg,20% off
Butter Naan,Soft bread with butter.,401,Main Course,Indian,Restaurant F,Chennai,3.3,Non-Veg,16% off
Chocolate Shake,Rich and creamy chocolate drink.,373,Beverage,American,Restaurant C,Delhi,3.4,Non-Veg,13% off
Hot Dog,Sausage served in a sliced bun.,337,Snack,American,Restaurant H,Chennai,3.3,Non-Veg,26% off
Guacamole,Mashed avocado dip with lime and salt.,312,Snack,Mexican,Restaurant J,Mumbai,3.7,Non-Veg,22% off
Cheeseburger,Juicy beef patty with melted cheese.,400,Main Course,American,Restaurant A,Mumbai,3.9,Non-Veg,5% off
