Item,Price,Discount,Category,Restaurant,Address,Phone,Rating,Popularity,Preparation_Time,Spice_Level,Is_Vegetarian,Is_Vegan,Is_Gluten_Free,Description,Cuisine,Available_Time,Calories,Allergens,Image_URL,Complementary_Items
Veg Biryani,350,5,Main Course,Spice Garden,"Park Street, Kolkata",9876543210,4.5,High,25,Medium,Yes,Yes,No,"Flavorful rice dish with mixed vegetables and aromatic spices",Indian,11:00-23:00,550,"Nuts",https://example.com/veg_biryani.jpg,"Raita,Salad,Papad"
Paneer Biryani,400,0,Main Course,Spice Garden,"Park Street, Kolkata",9876543210,4.5,High,30,Medium,Yes,Yes,No,"Rich biryani with cottage cheese and special spices",Indian,11:00-23:00,600,"Dairy",https://example.com/paneer_biryani.jpg,"Raita,Salad,Papad"
Mushroom Biryani,380,10,Main Course,Spice Garden,"Park Street, Kolkata",9876543210,4.5,High,25,Medium,Yes,Yes,No,"Aromatic biryani with fresh mushrooms and herbs",Indian,11:00-23:00,500,None,https://example.com/mushroom_biryani.jpg,None
Chicken Biryani,450,0,Main Course,Spice Garden,"Park Street, Kolkata",9876543210,4.5,High,35,Medium,No,No,No,"Classic biryani with tender chicken pieces",Indian,11:00-23:00,700,"Dairy",https://example.com/chicken_biryani.jpg,"Raita,Salad,Papad"
Mutton Biryani,500,5,Main Course,Spice Garden,"Park Street, Kolkata",9876543210,4.5,High,40,Medium,No,No,No,"Traditional biryani with succulent mutton",Indian,11:00-23:00,750,"Dairy",https://example.com/mutton_biryani.jpg,"Raita,Salad,Papad"
Butter Chicken,450,10,Main Course,Spice Garden,"Park Street, Kolkata",9876543210,4.5,High,30,Medium,No,No,No,"Classic Indian curry with tender chicken in rich tomato gravy",Indian,11:00-23:00,650,"Dairy, Nuts",https://example.com/butter_chicken.jpg,"Naan,Rice,Raita"
Paneer Butter Masala,380,5,Main Course,Spice Garden,"Park Street, Kolkata",9876543210,4.5,High,25,Medium,Yes,Yes,No,"Cottage cheese in rich tomato gravy",Indian,11:00-23:00,500,"Dairy",https://example.com/paneer_butter_masala.jpg,"Naan,Rice,Raita"
Naan,40,0,Bread,Spice Garden,"Park Street, Kolkata",9876543210,4.5,High,10,Low,Yes,Yes,No,"Soft tandoor-baked bread",Indian,11:00-23:00,150,"Gluten",https://example.com/naan.jpg,None
Tandoori Roti,30,0,Bread,Spice Garden,"Park Street, Kolkata",9876543210,4.5,High,8,Low,Yes,Yes,No,"Whole wheat bread baked in tandoor",Indian,11:00-23:00,120,"Gluten",https://example.com/tandoori_roti.jpg,None
Jeera Rice,120,0,Main Course,Spice Garden,"Park Street, Kolkata",9876543210,4.5,High,15,Low,Yes,Yes,Yes,"Fragrant rice with cumin seeds",Indian,11:00-23:00,250,None,https://example.com/jeera_rice.jpg,None
Veg Fried Rice,250,0,Main Course,Dragon Wok,"China Town, Kolkata",9876543212,4.4,High,20,Low,Yes,Yes,Yes,"Stir-fried rice with mixed vegetables",Chinese,11:30-22:30,400,None,https://example.com/veg_fried_rice.jpg,"Manchurian,Noodles"
Veg Noodles,280,5,Main Course,Dragon Wok,"China Town, Kolkata",9876543212,4.4,High,15,Low,Yes,Yes,No,"Stir-fried noodles with vegetables",Chinese,11:30-22:30,450,"Gluten",https://example.com/veg_noodles.jpg,"Manchurian,Fried Rice"
Veg Manchurian,300,0,Main Course,Dragon Wok,"China Town, Kolkata",9876543212,4.4,High,25,Medium,Yes,Yes,No,"Vegetable dumplings in spicy sauce",Chinese,11:30-22:30,350,"Soy",https://example.com/veg_manchurian.jpg,"Fried Rice,Noodles"
Chicken Manchurian,350,5,Main Course,Dragon Wok,"China Town, Kolkata",9876543212,4.4,High,25,Medium,No,No,No,"Chicken dumplings in spicy sauce",Chinese,11:30-22:30,450,"Soy",https://example.com/chicken_manchurian.jpg,"Fried Rice,Noodles"
Veg Pizza,399,15,Main Course,Italian Delight,"Salt Lake, Kolkata",9876543211,4.3,Medium,20,Low,Yes,No,No,"Classic pizza with vegetables and cheese",Italian,12:00-22:00,450,"Dairy, Gluten",https://example.com/veg_pizza.jpg,"Garlic Bread,Cold Drink"
Margherita Pizza,350,0,Main Course,Italian Delight,"Salt Lake, Kolkata",9876543211,4.3,Medium,20,Low,Yes,No,No,"Classic pizza with tomato sauce and mozzarella",Italian,12:00-22:00,400,"Dairy, Gluten",https://example.com/margherita.jpg,None
Chicken Pizza,450,10,Main Course,Italian Delight,"Salt Lake, Kolkata",9876543211,4.3,Medium,20,Low,No,No,No,"Pizza topped with chicken and vegetables",Italian,12:00-22:00,550,"Dairy, Gluten",https://example.com/chicken_pizza.jpg,"Garlic Bread,Cold Drink"
Garlic Bread,120,0,Starter,Italian Delight,"Salt Lake, Kolkata",9876543211,4.3,Medium,10,Low,Yes,No,No,"Toasted bread with garlic butter",Italian,12:00-22:00,200,"Dairy, Gluten",https://example.com/garlic_bread.jpg,None
Veg Pasta,300,5,Main Course,Italian Delight,"Salt Lake, Kolkata",9876543211,4.3,Medium,15,Low,Yes,No,No,"Pasta with vegetables in tomato sauce",Italian,12:00-22:00,450,"Gluten",https://example.com/veg_pasta.jpg,"Garlic Bread,Cold Drink"
Chicken Pasta,380,0,Main Course,Italian Delight,"Salt Lake, Kolkata",9876543211,4.3,Medium,15,Low,No,No,No,"Pasta with chicken in creamy sauce",Italian,12:00-22:00,500,"Dairy, Gluten",https://example.com/chicken_pasta.jpg,"Garlic Bread,Cold Drink"
Veg Burger,200,0,Main Course,American Grill,"New Market, Kolkata",9876543215,4.1,Medium,15,Low,Yes,No,No,"Vegetable patty burger with fresh vegetables",American,11:00-23:00,350,"Dairy, Gluten",https://example.com/veg_burger.jpg,"French Fries,Cold Drink"
Cheeseburger,350,0,Main Course,American Grill,"New Market, Kolkata",9876543215,4.1,Medium,15,Low,No,No,No,"Classic beef burger with cheese",American,11:00-23:00,600,"Dairy, Gluten",https://example.com/burger.jpg,"French Fries,Cold Drink"
French Fries,120,0,Snack,American Grill,"New Market, Kolkata",9876543215,4.1,Medium,10,Low,Yes,Yes,Yes,"Crispy potato fries",American,11:00-23:00,300,None,https://example.com/fries.jpg,None
Veg Sandwich,180,5,Main Course,American Grill,"New Market, Kolkata",9876543215,4.1,Medium,10,Low,Yes,Yes,No,"Fresh vegetable sandwich with special sauce",American,11:00-23:00,300,"Gluten",https://example.com/veg_sandwich.jpg,"French Fries,Cold Drink"
Chicken Sandwich,250,5,Main Course,American Grill,"New Market, Kolkata",9876543215,4.1,Medium,10,Low,No,No,No,"Grilled chicken sandwich with vegetables",American,11:00-23:00,400,"Gluten",https://example.com/chicken_sandwich.jpg,"French Fries,Cold Drink"
Veg Momos,180,0,Snack,Dragon Wok,"China Town, Kolkata",9876543212,4.4,High,15,Low,Yes,Yes,No,"Steamed vegetable dumplings",Chinese,11:30-22:30,250,"Gluten",https://example.com/veg_momos.jpg,"Chilli Sauce"
Chicken Momos,200,5,Snack,Dragon Wok,"China Town, Kolkata",9876543212,4.4,High,15,Low,No,No,No,"Steamed chicken dumplings",Chinese,11:30-22:30,300,"Gluten",https://example.com/chicken_momos.jpg,"Chilli Sauce"
Chilli Sauce,20,0,Accompaniment,Dragon Wok,"China Town, Kolkata",9876543212,4.4,High,2,Medium,Yes,Yes,Yes,"Spicy red chilli sauce",Chinese,11:30-22:30,20,None,https://example.com/chilli_sauce.jpg,None
Ice Cream,100,0,Dessert,All Restaurants,"Multiple Locations",9876543218,4.0,Medium,5,Low,Yes,No,No,"Creamy vanilla ice cream",All,11:00-23:00,200,"Dairy",https://example.com/ice_cream.jpg,None
Chocolate Cake,150,0,Dessert,All Restaurants,"Multiple Locations",9876543218,4.0,Medium,10,Low,Yes,No,No,"Rich chocolate dessert",All,11:00-23:00,300,"Dairy, Gluten",https://example.com/cake.jpg,None
Soft Drink,80,0,Beverage,All Restaurants,"Multiple Locations",9876543218,4.0,Medium,2,Low,Yes,Yes,Yes,"Refreshing carbonated drink",All,11:00-23:00,150,None,https://example.com/soft_drink.jpg,None
Lassi,120,0,Beverage,All Restaurants,"Multiple Locations",9876543218,4.0,Medium,5,Low,Yes,No,No,"Sweet yogurt drink",All,11:00-23:00,200,"Dairy",https://example.com/lassi.jpg,None
Raita,80,0,Accompaniment,Spice Garden,"Park Street, Kolkata",9876543210,4.5,High,5,Low,Yes,Yes,Yes,"Cooling yogurt with cucumber and mint",Indian,11:00-23:00,100,"Dairy",https://example.com/raita.jpg,None
Salad,60,0,Accompaniment,Spice Garden,"Park Street, Kolkata",9876543210,4.5,High,5,Low,Yes,Yes,Yes,"Fresh mixed vegetable salad",Indian,11:00-23:00,50,None,https://example.com/salad.jpg,None
Papad,30,0,Accompaniment,Spice Garden,"Park Street, Kolkata",9876543210,4.5,High,2,Low,Yes,Yes,Yes,"Crispy lentil wafer",Indian,11:00-23:00,30,None,https://example.com/papad.jpg,None 
