Item,Description,Price,Category,Restaurant,Location,Rating,Is_Vegetarian,Discount,Tags
Chicken Biryani,Aromatic basmati rice cooked with tender chicken pieces and exotic spices,380,Main Course,Kolkata Biryani House,Kolkata,4.7,Non-Veg,10,"non-veg,main_course,rice,chicken,mughlai,indian,family_meal,aromatic,hearty,popular,spicy_medium"
Mutton Biryani,Fragrant basmati rice slow-cooked with succulent mutton and traditional spices,450,Main Course,Kolkata Biryani House,Kolkata,4.8,Non-Veg,5,"non-veg,main_course,rice,mutton,mughlai,indian,family_meal,rich,hearty,popular,spicy_medium"
Veg Biryani,Basmati rice cooked with mixed vegetables paneer and aromatic spices,300,Main Course,Kolkata Biryani House,Kolkata,4.5,Veg,0,"veg,main_course,rice,vegetable,paneer,indian,family_meal,aromatic,healthy_option,popular"
Paneer Butter Masala,Soft paneer cubes in a rich creamy tomato and cashew gravy,320,Main Course,The Royal Platter,Kolkata,4.6,Veg,15,"veg,main_course,paneer,creamy,rich,north_indian,popular,comfort_food,family_meal,sweet_tangy"
Dal Makhani,Creamy black lentils and kidney beans slow-cooked with butter and spices,280,Main Course,The Royal Platter,Kolkata,4.7,Veg,0,"veg,main_course,lentil,creamy,north_indian,popular,comfort_food,hearty,rich"
Butter Chicken,Tender chicken pieces cooked in a rich tomato and butter gravy,420,Main Course,The Royal Platter,Kolkata,4.9,Non-Veg,10,"non-veg,main_course,chicken,creamy,rich,north_indian,popular,comfort_food,family_meal,sweet_tangy"
Fish Curry (Rui Kalia),Rohu fish cooked in a traditional Bengali spicy onion-ginger-garlic gravy,350,Main Course,Taste of Bengal,Kolkata,4.6,Non-Veg,0,"non-veg,main_course,fish,bengali,spicy,curry,family_meal,traditional"
Sorshe Ilish,Hilsa fish steamed in a pungent mustard seed paste,650,Main Course,Taste of Bengal,Kolkata,4.9,Non-Veg,0,"non-veg,main_course,fish,hilsa,bengali,mustard,steamed,pungent,delicacy,premium"
Kosha Mangsho,Slow-cooked spicy Bengali mutton curry,480,Main Course,Taste of Bengal,Kolkata,4.8,Non-Veg,5,"non-veg,main_course,mutton,bengali,spicy,curry,slow_cooked,rich,hearty,traditional"
Chingri Malai Curry,Prawns cooked in a creamy coconut milk gravy,550,Main Course,Taste of Bengal,Kolkata,4.7,Non-Veg,0,"non-veg,main_course,prawn,shrimp,bengali,creamy,coconut,curry,mild,delicacy"
Aloo Posto,Potatoes cooked in a poppy seed paste a Bengali delicacy,250,Main Course,Taste of Bengal,Kolkata,4.4,Veg,0,"veg,main_course,potato,bengali,poppy_seed,delicacy,traditional,light_meal,side_dish"
Moong Dal,Simple yellow lentils tempered with cumin and ghee,180,Main Course,The Royal Platter,Kolkata,4.3,Veg,0,"veg,main_course,lentil,dal,indian,light_meal,healthy,comfort_food,side_dish"
Mixed Vegetable Curry,Assorted seasonal vegetables cooked in a light Indian gravy,260,Main Course,The Royal Platter,Kolkata,4.2,Veg,5,"veg,main_course,vegetable,curry,indian,light_meal,healthy,family_meal"
Palak Paneer,Spinach and cottage cheese curry,300,Main Course,The Royal Platter,Kolkata,4.5,Veg,0,"veg,main_course,spinach,paneer,curry,north_indian,healthy,creamy,popular"
Chicken Korma,Chicken cooked in a mild creamy yogurt and nut-based gravy,400,Main Course,Mughlai Dastarkhwan,Kolkata,4.6,Non-Veg,10,"non-veg,main_course,chicken,mughlai,creamy,mild,korma,rich,family_meal"
Mutton Rogan Josh,Aromatic Kashmiri lamb curry with a rich red gravy,490,Main Course,Mughlai Dastarkhwan,Kolkata,4.7,Non-Veg,0,"non-veg,main_course,mutton,lamb,kashmiri,mughlai,aromatic,rich,spicy_medium,family_meal"
Egg Curry,Boiled eggs in a spicy onion-tomato gravy,220,Main Course,Quick Bites,Kolkata,4.1,Non-Veg,0,"non-veg,main_course,egg,curry,indian,spicy,quick_meal,budget_friendly"
Chana Masala,Chickpeas cooked in a tangy and spicy tomato-onion gravy,240,Main Course,Quick Bites,Kolkata,4.3,Veg,5,"veg,main_course,chickpea,indian,spicy,tangy,curry,popular,healthy_option"
Veg Hakka Noodles,Stir-fried noodles with mixed vegetables,220,Main Course,Dragon's Wok,Kolkata,4.4,Veg,0,"veg,main_course,noodles,chinese,indo-chinese,stir_fried,vegetable,quick_meal,popular"
Chicken Hakka Noodles,Stir-fried noodles with chicken and vegetables,280,Main Course,Dragon's Wok,Kolkata,4.5,Non-Veg,10,"non-veg,main_course,noodles,chinese,indo-chinese,stir_fried,chicken,quick_meal,popular"
Chilli Chicken Gravy,Diced chicken in a spicy Indo-Chinese gravy,350,Main Course,Dragon's Wok,Kolkata,4.6,Non-Veg,0,"non-veg,main_course,chicken,chinese,indo-chinese,spicy,gravy,popular,party_food"
Veg Manchurian Gravy,Vegetable balls in a tangy and savory Indo-Chinese gravy,280,Main Course,Dragon's Wok,Kolkata,4.3,Veg,5,"veg,main_course,vegetable,manchurian,chinese,indo-chinese,tangy,savory,gravy,popular"
Samosa (2 pcs),Crispy pastry filled with spiced potatoes and peas,50,Snack,Chai & Chaat Corner,Kolkata,4.5,Veg,0,"veg,snack,fried,indian,popular,quick_lunch,rainy_day_snack,chaat,chai_pairing,appetizer,street_food"
Aloo Tikki Chaat,Spiced potato patties topped with yogurt chutneys and spices,80,Snack,Chai & Chaat Corner,Kolkata,4.6,Veg,0,"veg,snack,chaat,indian,spicy,tangy,street_food,popular,quick_lunch,appetizer"
Papdi Chaat,Crisp fried dough wafers with boiled potatoes chickpeas yogurt and chutneys,90,Snack,Chai & Chaat Corner,Kolkata,4.4,Veg,5,"veg,snack,chaat,indian,crispy,tangy,street_food,popular,quick_lunch,appetizer"
Bhel Puri,Puffed rice mixed with vegetables tangy tamarind sauce and spices,70,Snack,Chai & Chaat Corner,Kolkata,4.3,Veg,0,"veg,snack,chaat,indian,puffed_rice,tangy,light_meal,street_food,quick_lunch,healthy_option"
Vegetable Cutlet (2 pcs),Mixed vegetable patties breaded and fried,60,Snack,Snack Attack,Kolkata,4.2,Veg,0,"veg,snack,fried,indian,vegetable,cutlet,quick_lunch,appetizer,chai_pairing"
Chicken Pakora (8 pcs),Chicken pieces coated in gram flour batter and deep-fried,180,Snack,Snack Attack,Kolkata,4.5,Non-Veg,10,"non-veg,snack,fried,indian,chicken,pakora,appetizer,rainy_day_snack,party_food"
Fish Fry (Bekti - 1 pc),Bekti fish marinated crumb-coated and deep-fried,200,Snack,Snack Attack,Kolkata,4.7,Non-Veg,0,"non-veg,snack,fried,bengali,fish,bekti,appetizer,crispy,popular"
